S.No.,Title,Chapter,Verse,Sanskrit Anuvad,Hindi Anuvad,Enlgish Translation
1,Arjuna's Vishada Yoga,Chapter 1,Verse 1.1,धृतराष्ट्र उवाच । धर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सवः मामकाः पाण्डवाश्चैव किमकुर्वत सञ्जय ॥...,"धृतराष्ट्र बोले- हे संजय! धर्मभूमि कुरुक्षेत्र में एकत्रित, युद्ध की इच्छावाले मेरे और पाण्डु के पुत्रों ने क्या किया?","Dhrtarashtra asked of Sanjaya: O SANJAYA, what did my warrior sons and those of Pandu do when they were gathered at KURUKSHETRA, the field of religious activities? Tell me of those happenings."
2,Arjuna's Vishada Yoga,Chapter 1,Verse 1.2,सञ्जय उवाच । दृष्ट्वा तु पाण्डवानीकं व्यूढं दुर्योधनस्तदा आचार्यमुपसङ्गम्य राजा वचनमब्रवीत् ॥ १.२ ...,संजय बोले- उस समय राजा दुर्योधन ने व्यूहरचनायुक्त पाण्डवों की सेना को देखा और द्रोणाचार्य के पास जाकर यह वचन कहा|,"Sanjaya explained: Now seeing that the army of the PANDAVAS was set up properly, the Price DURYODHANA called his teacher, DRONA, to his side and spoke these words:"
3,Arjuna's Vishada Yoga,Chapter 1,Verse 1.3,पश्यैतां पाण्डुपुत्राणामाचार्य महतीं चमूम् । व्यूढां द्रुपदपुत्रेण तव शिष्येण धीमता ॥ १.३ ॥,हे आचार्य! आपके बुद्धिमान्‌ शिष्य द्रुपदपुत्र धृष्टद्युम्न द्वारा व्यूहाकार खड़ी की हुई पाण्डुपुत्रों की इस बड़ी भारी सेना को देखिए|,"Behold O, Master, the mighty army of the sons of PANDU, led by the son of DRUPADA, your talented disciple."
4,Arjuna's Vishada Yoga,Chapter 1,Verse 1.4,अत्र शूरा महेष्वासा भीमार्जुनसमा युधि । युयुधानो विराटश्च द्रुपदश्च महारथः ॥ १.४ ॥,"इस सेना में बड़े-बड़े धनुषों वाले तथा युद्ध में भीम और अर्जुन के समान शूरवीर सात्यकि और विराट तथा महारथी राजा द्रुपद, धृष्टकेतु और चेकितान तथा बलवान काशिराज, पुरुजित, कुन्तिभोज और मनुष्यों में श्रेष्ठ शैब्य, पराक्रमी युधामन्यु तथा बलवान उत्तमौजा, सुभद्रापुत्र अभिमन्यु एवं द्रौपदी के पाँचों पुत्र- ये सभी महारथी हैं","Present here are the mighty archers, peers or friends, in warfare, of ARJUNA and BHIMA. Their names are: YUYUDHANA, VIRATA and DRUPADA, the great chariot-warrior. Other great warriors were also present on the battlefield: DHRSHTAKEUT, CHEKITANA and the brave and noble King of Kasi, KUNTIBHIJA and SAIBYA; these are among the great warriors. Other courageous and great chariot-warriors were: YUDHAMANYU, the brave UTTAMAUJA, SAUBHADRA, and the sons of DRAUPADI."
5,Arjuna's Vishada Yoga,Chapter 1,Verse 1.5,धृष्टकेतुश्चेकितानः काशिराजश्च वीर्यवान् । पुरुजित्कुन्तिभोजश्च शैब्यश्च नरपुङ्गवः ॥ १.५ ॥,"धृष्टकेतु, चेकिताना, और काशी के बहादुर राजा, पुरुजीत और कुंतीभोज और सैब्य, सबसे अच्छे पुरुष।","Dhrishtaketu, Chekitana, and the valiant king of Kashi, Purujit and Kuntibhoja and Saibya, the best of men."
6,Arjuna's Vishada Yoga,Chapter 1,Verse 1.6,युधामन्युश्च विक्रान्त उत्तमौजाश्च वीर्यवान् । सौभद्रो द्रौपदेयाश्च सर्व एव महारथाः ॥ १.६ ॥,"बलवान युधमन्यु और वीर उत्तमौज, सुभद्रा के पुत्र और द्रौपदी के पुत्र, वे सभी, मंडल सेनापति।","The strong Yudhamanyu and the brave Uttamaujas, the son of Subhadra and the sons of Draupadi, all of them, divisional commanders."
7,Arjuna's Vishada Yoga,Chapter 1,Verse 1.7,अस्माकं तु विशिष्टा ये तान्निबोध द्विजोत्तम । नायका मम सैन्यस्य संज्ञार्थं तान्ब्रवीमि ते ॥ १.७ ॥,"हे ब्राह्मणश्रेष्ठ ! अपने पक्ष में भी जो प्रधान हैं, उनको आप समझ लीजिये । आपकी जानकारी के लिये मेरी सेना के जो-जो सेनापति हैं, उनको बतलाता हूँ ।","Duryodhana spoke unto his master Drona: O Best of the twice born, I name all of those who are our distinguished Chiefs, the leaders of my army, of your information only."
8,Arjuna's Vishada Yoga,Chapter 1,Verse 1.8,भवान्भीष्मश्च कर्णश्च कृपश्च समितिंजयः । अश्वत्थामा विकर्णश्च सौमदत्तिस्तथैव च ॥ १.८ ॥,"आप —– द्रोणाचार्य और पितामह भीष्म तथा कर्ण और संग्रामविजयी कृपाचार्य तथा वैसे ही अश्वत्थामा, विकर्ण और सोमदत्त का पुत्र भूरिश्रवा ।","Your wise self, BHISMA, KARNA, KRIPA, the victorious in fight; ASVATTHAMA, VIKARNA and SAUMADATTI as well."
9,Arjuna's Vishada Yoga,Chapter 1,Verse 1.9,अन्ये च बहवः शूरा मदर्थे त्यक्तजीविताः । नानाशस्त्रप्रहरणाः सर्वे युद्धविशारदाः ॥ १.९ ॥,और भी मेरे लिये जीवन की आशा त्याग देने वाले बहुत से शूरवीर अनेक प्रकार के शस्त्रास्त्रों से सुसज्जित और सब-के-सब युद्ध में चतुर हैं ।,"Duryodhana further said to Drona: Yet several other heroes and great men, well-trained in combat, armed with assorted powerful weapons and missiles, are ready to lay down their lives for me!"
10,Arjuna's Vishada Yoga,Chapter 1,Verse 1.10,अपर्याप्तं तदस्माकं बलं भीष्माभिरक्षितम् । पर्याप्तं त्विदमेतेषां बलं भीमाभिरक्षितम् ॥ १.१० ॥,भीष्मपितामह द्वारा रक्षित हमारी वह सेना सब प्रकार से अजेय है और भीमद्वारा रक्षित इन लोगों की यह सेना जीतने में सुगम है ।,"Duryodhana explained with pride to Drona: Our army, led by BHISMA, is numerous and skilled. The army led by BHIMA, however, is weak and lacking in strength and power."
11,Arjuna's Vishada Yoga,Chapter 1,Verse 1.11,अयनेषु च सर्वेषु यथाभागमवस्थिताः । भीष्ममेवाभिरक्षन्तु भवन्तः सर्व एव हि ॥ १.११ ॥,इसलिये सब मोर्चों पर अपनी-अपनी जगह स्थित रहते हुए आप लोग सभी नि:संदेह भीष्मपितामह की सब और से रक्षा करें ।,"Duryodhana instructed his army: Now all of you quickly assume your proper positions for battle, your main goal being to protect and fight alongside BHISMA, your leader, by all means."
12,Arjuna's Vishada Yoga,Chapter 1,Verse 1.12,तस्य सञ्जनयन्हर्षं कुरुवृद्धः पितामहः । सिंहनादं विनद्योच्चैः शङ्खं दध्मौ प्रतापवान् ॥ १.१२ ॥,कोरवों में वृद्ब बड़े प्रतापी पितामह भीष्म ने उस दुर्योधन के ह्रदय में हर्ष उत्पन्न करते हुए उच्च स्वर से सिंह की दहाड़ के समान गरजकर शंख बजाया ।,"To bring joy to DURYODHANA’s heart, the great grandsire BHISMA, the oldest and most famous of the KAURAVAS, roared loudly like a lion (a battle-cry), and blew his conch to signal the army to advance towards the enemy."
13,Arjuna's Vishada Yoga,Chapter 1,Verse 1.13,ततः शङ्खाश्च भेर्यश्च पणवानकगोमुखाः । सहसैवाभ्यहन्यन्त स शब्दस्तुमुलोऽभवत् ॥ १.१३ ॥,"इसके पश्चात् शंख और नगारे तथा ढोल, मृदंग और नरसिंघे आदि बाजे एक साथ ही बज उठे । उनका वह शब्द बड़ा भयंकर हुआ ।","Tremendous noise followed. Conches, kettle-drums, tabors, and trumpets and cowhorns blared across the battlefield."
14,Arjuna's Vishada Yoga,Chapter 1,Verse 1.14,ततः श्वेतैर्हयैर्युक्ते महति स्यन्दने स्थितौ । माधवः पाण्डवश्चैव दिव्यौ शङ्खौ प्रदध्मतुः ॥ १.१४ ॥,इसके अनन्तर सफेद घोडों से युक्त्त उत्तम रथ में बैठे हुए श्रीकृष्ण महाराज और अर्जुन ने भी अलौकिक शंख बजाये ।,MADHAVA (Lord Krishna) and PANDAVA were seated in their magnificent chariote attached to white horses and they blew gracefully their divine conches.
15,Arjuna's Vishada Yoga,Chapter 1,Verse 1.15,पाञ्चजन्यं हृषीकेशो देवदत्तं धनञ्जयः । पौण्ड्रं दध्मौ महाशङ्खं भीमकर्मा वृकोदरः ॥ १.१५ ॥,"श्रीकृष्ण महाराज ने पाञ्चजन्य-नामक, अर्जुन ने देवदत्त-नामक और भयानक कर्मवाले भीमसेन ने पौण्ड्र-नामक महाशंख बजाया ।",The PANCHAJANYA (the name of one of the conches) was blown by HRISHIKESA (Lord Krishna). The conch named DEVADATTA was blown by DHANANJAYA (Arjuna).
16,Arjuna's Vishada Yoga,Chapter 1,Verse 1.16,अनन्तविजयं राजा कुन्तीपुत्रो युधिष्ठिरः । नकुलः सहदेवश्च सुघोषमणिपुष्पकौ ॥ १.१६ ॥,कुन्तीपुत्र राजा युधिष्ठिर ने अनन्तविजय-नामक और नकुल तथा सहदेव ने सुघोष और मणिपुष्पक नामक शंख बजाये ।,The King YUDISHTHIRA. the son of KUNTI blew the great conch called ANANTAVIYAYA: NAKUL and  SAHDEV blew SUGHOSHA and MANIPUSHPAKA (also names of conches).
17,Arjuna's Vishada Yoga,Chapter 1,Verse 1.17,काश्यश्च परमेष्वासः शिखण्डी च महारथः । धृष्टद्युम्नो विराटश्च सात्यकिश्चापराजितः ॥ १.१७ ॥,"श्रेष्ठ धनुषवाले काशिराज और महारथी शिखण्डी एवं धृष्टधुम्न तथा राजा विराट और अजेय सात्यकि राजा द्रु पद एवं द्रौपदी के पाँचो पुत्र और बड़ी भुजावाले सुभद्रापुत्र अभिमन्यु —- इन सभी ने, हे राजन् ! सब ओर से अलग-अलग शंख बजाये ।","Several conches were also blown by: The ruler of KASI. the great warrior SIKHANDI, DHRSTHTADYUMNA, VIRATA, and SATYAKI, the invincible. DRUPADA and the sons of DRAUPADI, and the mighty armed son of SUBHADRA also blew their several conches."
18,Arjuna's Vishada Yoga,Chapter 1,Verse 1.18,द्रुपदो द्रौपदेयाश्च सर्वशः पृथिवीपते । सौभद्रश्च महाबाहुः शङ्खान्दध्मुः पृथक्पृथक् ॥ १.१८ ॥,"द्रुपद और द्रौपदी के पुत्रों, हे पृथ्वी के भगवान, और सुभद्रा के पुत्र, शक्तिशाली सशस्त्र, ने अपने-अपने शंख उड़ा दिए।","Drupada and the sons of Draupadi, O Lord of the Earth, and the son of Subhadra, the mighty armed, blew their respective conches."
19,Arjuna's Vishada Yoga,Chapter 1,Verse 1.19,स घोषो धार्तराष्ट्राणां हृदयानि व्यदारयत् । नभश्च पृथिवीं चैव तुमुलोऽभ्यनुनादयन् ॥ १.१९ ॥,और उस भयानक शब्द ने आकाश और पृथ्वी-को भी गुँजाते हुए धार्तराष्ट्रों के अर्थात् आपके पक्षवालों के ह्रदय विदीर्ण कर दिये ।,The earth and sky was filled with the extremely loud and terrible noise of the PANDAVAS’ bugles and voices which struck fear in the hearts of the KAURAVAS (the sons of Dhrtarashtra).
